Time,Displacement,Force
0.809,0.0628,0.0294
0.81,0.0629,0.0295
0.811,0.0629,0.0295
0.812,0.063,0.0295
0.813,0.0631,0.0296
0.814,0.0632,0.0296
0.815,0.0633,0.0296
0.816,0.0633,0.0296
0.817,0.0634,0.0297
0.818,0.0635,0.0297
0.819,0.0636,0.0297
0.82,0.0636,0.0298
0.821,0.0637,0.0298
0.822,0.0638,0.0298
0.823,0.0639,0.0299
0.824,0.0639,0.0299
0.825,0.064,0.0299
0.826,0.0641,0.0299
0.827,0.0642,0.03
0.828,0.0642,0.03
0.829,0.0643,0.03
0.83,0.0644,0.0301
0.831,0.0645,0.0301
0.832,0.0645,0.0301
0.833,0.0646,0.0302
0.834,0.0647,0.0302
0.835,0.0648,0.0302
0.836,0.0648,0.0303
0.837,0.0649,0.0303
0.838,0.065,0.0304
0.839,0.0651,0.0304
0.84,0.0651,0.0304
0.841,0.0652,0.0305
0.842,0.0653,0.0305
0.843,0.0654,0.0305
0.844,0.0655,0.0306
0.845,0.0655,0.0306
0.846,0.0656,0.0306
0.847,0.0657,0.0307
0.848,0.0658,0.0307
0.849,0.0659,0.0307
0.85,0.0659,0.0308
0.851,0.066,0.0308
0.852,0.0661,0.0308
0.853,0.0662,0.0309
0.854,0.0663,0.0309
0.855,0.0663,0.0309
0.856,0.0664,0.031
0.857,0.0665,0.031
0.858,0.0666,0.031
0.859,0.0667,0.0311
0.86,0.0668,0.0311
0.861,0.0669,0.0311
0.862,0.0669,0.0312
0.863,0.067,0.0312
0.864,0.0671,0.0312
0.865,0.0672,0.0313
0.866,0.0673,0.0313
0.867,0.0674,0.0313
0.868,0.0675,0.0314
0.869,0.0676,0.0314
0.87,0.0677,0.0315
0.871,0.0678,0.0315
0.872,0.0678,0.0315
0.873,0.0679,0.0316
0.874,0.068,0.0316
0.875,0.0681,0.0316
0.876,0.0682,0.0317
0.877,0.0683,0.0317
0.878,0.0684,0.0317
0.879,0.0685,0.0318
0.88,0.0686,0.0318
0.881,0.0687,0.0318
0.882,0.0687,0.0319
0.883,0.0688,0.0319
0.884,0.0689,0.0319
0.885,0.069,0.032
0.886,0.0691,0.032
0.887,0.0692,0.032
0.888,0.0693,0.0321
0.889,0.0694,0.0321
0.89,0.0694,0.0321
0.891,0.0695,0.0322
0.892,0.0696,0.0322
0.893,0.0697,0.0322
0.894,0.0698,0.0323
0.895,0.0699,0.0323
0.896,0.0699,0.0323
0.897,0.07,0.0323
0.898,0.0701,0.0324
0.899,0.0702,0.0324
0.9,0.0703,0.0325
0.901,0.0704,0.0325
0.902,0.0704,0.0325
0.903,0.0705,0.0326
0.904,0.0706,0.0326
0.905,0.0707,0.0326
0.906,0.0708,0.0327
0.907,0.0709,0.0327
0.908,0.0709,0.0328
0.909,0.071,0.0328
0.91,0.0711,0.0328
0.911,0.0712,0.0329
0.912,0.0713,0.0329
0.913,0.0713,0.0329
0.914,0.0714,0.033
0.915,0.0715,0.033
0.916,0.0716,0.0331
0.917,0.0717,0.0331
0.918,0.0718,0.0331
0.919,0.0718,0.0332
0.92,0.0719,0.0332
0.921,0.072,0.0332
0.922,0.0721,0.0333
0.923,0.0722,0.0333
0.924,0.0722,0.0333
0.925,0.0723,0.0334
0.926,0.0724,0.0334
0.927,0.0725,0.0334
0.928,0.0726,0.0335
0.929,0.0727,0.0335
0.93,0.0728,0.0335
0.931,0.0728,0.0336
0.932,0.0729,0.0336
0.933,0.073,0.0336
0.934,0.0731,0.0337
0.935,0.0732,0.0337
0.936,0.0733,0.0337
0.937,0.0734,0.0337
0.938,0.0734,0.0338
